#delta m_41^2 (eV)	sin^2 2 theta_24	g^2	log10(Bayes Factor)
0.010593	0.010592409956476527	0.0	0.13999755988402157
0.013335	0.010592409956476527	0.0	0.19150913283779872
0.016788	0.010592409956476527	0.0	0.2080090007973217
0.021135	0.010592409956476527	0.0	0.20444756021270677
0.026607	0.010592409956476527	0.0	0.20760690490838288
0.033497	0.010592409956476527	0.0	0.20541102949182766
0.04217	0.010592409956476527	0.0	0.183221039573355
0.053088	0.010592409956476527	0.0	0.25884515462995084
0.066834	0.010592409956476527	0.0	0.35513845153124707
0.08414	0.010592409956476527	0.0	0.4755054602655926
0.105925	0.010592409956476527	0.0	0.5989226754923357
0.133352	0.010592409956476527	0.0	0.5865841130277107
0.16788	0.010592409956476527	0.0	0.5263264702494247
0.211349	0.010592409956476527	0.0	0.3821188789598009
0.266073	0.010592409956476527	0.0	0.3061923559698241
0.334965	0.010592409956476527	0.0	0.2105689148773437
0.421697	0.010592409956476527	0.0	0.16216722482081222
0.530884	0.010592409956476527	0.0	0.09034800714977367
0.668344	0.010592409956476527	0.0	-0.00818872041375081
0.841395	0.010592409956476527	0.0	-0.03036723192899649
1.059254	0.010592409956476527	0.0	-0.08887914986424143
1.333521	0.010592409956476527	0.0	-0.1334742705015657
1.678804	0.010592409956476527	0.0	-0.23277254212498227
2.113489	0.010592409956476527	0.0	-0.14694072179334974
2.660725	0.010592409956476527	0.0	-0.1580624606068652
3.349654	0.010592409956476527	0.0	-0.2218125215477583
4.216965	0.010592409956476527	0.0	-0.10369145369766405
5.308844	0.010592409956476527	0.0	-0.10771930484125723
6.683439	0.010592409956476527	0.0	-0.02921894863298321
8.413951	0.010592409956476527	0.0	0.03305071099279382
10.592537	0.010592409956476527	0.0	0.09688836913055944
13.335214	0.010592409956476527	0.0	0.16697316664405076
16.78804	0.010592409956476527	0.0	0.17771486304223738
21.13489	0.010592409956476527	0.0	0.2002201377257703
26.607251	0.010592409956476527	0.0	0.16884518866538462
33.496544	0.010592409956476527	0.0	0.20151042663145646
42.16965	0.010592409956476527	0.0	0.20461700020479098
0.010593	0.01333512132513612	0.0	0.18180503110105087
0.013335	0.01333512132513612	0.0	0.22279364007251937
0.016788	0.01333512132513612	0.0	0.19288527307683392
0.021135	0.01333512132513612	0.0	0.25130922032175435
0.026607	0.01333512132513612	0.0	0.18368070553906063
0.033497	0.01333512132513612	0.0	0.18983820653351333
0.04217	0.01333512132513612	0.0	0.23454981797975077
0.053088	0.01333512132513612	0.0	0.36175096285442104
0.066834	0.01333512132513612	0.0	0.46776568984211603
0.08414	0.01333512132513612	0.0	0.6081958007569983
0.105925	0.01333512132513612	0.0	0.6889538759159339
0.133352	0.01333512132513612	0.0	0.7400029599901023
0.16788	0.01333512132513612	0.0	0.5727831550971548
0.211349	0.01333512132513612	0.0	0.5246123316441755
0.266073	0.01333512132513612	0.0	0.36561486783109
0.334965	0.01333512132513612	0.0	0.2539099103105906
0.421697	0.01333512132513612	0.0	0.23457990590142846
0.530884	0.01333512132513612	0.0	0.14058051771019103
0.668344	0.01333512132513612	0.0	-0.07848899313439062
0.841395	0.01333512132513612	0.0	-0.005193143824169464
1.059254	0.01333512132513612	0.0	-0.05790747797373499
1.333521	0.01333512132513612	0.0	-0.13605489174251947
1.678804	0.01333512132513612	0.0	-0.1665840913859206
2.113489	0.01333512132513612	0.0	-0.19456175448993474
2.660725	0.01333512132513612	0.0	-0.2008834361704192
3.349654	0.01333512132513612	0.0	-0.19696529649888048
4.216965	0.01333512132513612	0.0	-0.14500699086915758
5.308844	0.01333512132513612	0.0	-0.12523159575422396
6.683439	0.01333512132513612	0.0	-0.06988486377547877
8.413951	0.01333512132513612	0.0	0.0474466132770512
10.592537	0.01333512132513612	0.0	0.09955495027832194
13.335214	0.01333512132513612	0.0	0.14198133021851644
16.78804	0.01333512132513612	0.0	0.2067582761190197
