# three neutrino -2 Delta LLH= 9.061465020000469
# delta m_41^2 (eV)	sin^2 2 theta_24	g^2	-2 Delta LLH
0.010593	0.010592409956476527	0.0	9.08503490000021
0.013335	0.010592409956476527	0.0	9.086242480000692
0.016788	0.010592409956476527	0.0	9.086986100000104
0.021135	0.010592409956476527	0.0	9.093276240000705
0.026607	0.010592409956476527	0.0	9.129090480000741
0.033497	0.010592409956476527	0.0	9.146758820000287
0.04217	0.010592409956476527	0.0	9.298794719999933
0.053088	0.010592409956476527	0.0	9.549224220000724
0.066834	0.010592409956476527	0.0	9.900393200000508
0.08414	0.010592409956476527	0.0	10.299808420000772
0.105925	0.010592409956476527	0.0	10.583994080000593
0.133352	0.010592409956476527	0.0	10.58927046000008
0.16788	0.010592409956476527	0.0	10.191577540000253
0.211349	0.010592409956476527	0.0	9.73416398000063
0.266073	0.010592409956476527	0.0	9.233952380000119
0.334965	0.010592409956476527	0.0	8.874992680000105
0.421697	0.010592409956476527	0.0	8.54846476000057
0.530884	0.010592409956476527	0.0	8.27731318000042
0.668344	0.010592409956476527	0.0	8.026066080000419
0.841395	0.010592409956476527	0.0	7.773983080000107
1.059254	0.010592409956476527	0.0	7.539834980000705
1.333521	0.010592409956476527	0.0	7.440684680000231
1.678804	0.010592409956476527	0.0	7.343460779999987
2.113489	0.010592409956476527	0.0	7.35627778000071
2.660725	0.010592409956476527	0.0	7.412040480000542
3.349654	0.010592409956476527	0.0	7.645175860000563
4.216965	0.010592409956476527	0.0	7.688768300000447
5.308844	0.010592409956476527	0.0	7.850916460000008
6.683439	0.010592409956476527	0.0	8.090366979999999
8.413951	0.010592409956476527	0.0	8.384201400000165
10.592537	0.010592409956476527	0.0	8.602760860000672
13.335214	0.010592409956476527	0.0	8.821917260000191
16.78804	0.010592409956476527	0.0	9.084551040000406
21.13489	0.010592409956476527	0.0	9.070885099999941
26.607251	0.010592409956476527	0.0	9.102684280000176
33.496544	0.010592409956476527	0.0	9.126412640000126
42.16965	0.010592409956476527	0.0	9.154774139999972
0.010593	0.01333512132513612	0.0	9.082294800000454
0.013335	0.01333512132513612	0.0	9.157526360000702
0.016788	0.01333512132513612	0.0	9.139529260000018
0.021135	0.01333512132513612	0.0	9.101926860000276
0.026607	0.01333512132513612	0.0	9.117108940000435
0.033497	0.01333512132513612	0.0	9.176243599999907
0.04217	0.01333512132513612	0.0	9.369598640000731
0.053088	0.01333512132513612	0.0	9.712866260000737
0.066834	0.01333512132513612	0.0	10.19765413999994
0.08414	0.01333512132513612	0.0	10.779980600000272
0.105925	0.01333512132513612	0.0	11.180430660000638
0.133352	0.01333512132513612	0.0	11.267429040000025
0.16788	0.01333512132513612	0.0	10.896165900000597
0.211349	0.01333512132513612	0.0	10.29140390000066
0.266073	0.01333512132513612	0.0	9.733515679999982
0.334965	0.01333512132513612	0.0	9.268841720000637
0.421697	0.01333512132513612	0.0	8.890858940000726
0.530884	0.01333512132513612	0.0	8.47715442000026
0.668344	0.01333512132513612	0.0	8.136815600000773
0.841395	0.01333512132513612	0.0	7.773209080000015
1.059254	0.01333512132513612	0.0	7.431341420000535
1.333521	0.01333512132513612	0.0	7.262696900000265
1.678804	0.01333512132513612	0.0	7.092960160000075
